ClaimId,ScoredDate,ModelVersion,FraudScore
0,2025-09-05,XGB_optuna_smote_513eddb2,0.0039640903
1,2025-09-05,XGB_optuna_smote_513eddb2,0.0073867035
2,2025-09-05,XGB_optuna_smote_513eddb2,0.07465986
3,2025-09-05,XGB_optuna_smote_513eddb2,0.0001646057
4,2025-09-05,XGB_optuna_smote_513eddb2,0.028843518
5,2025-09-05,XGB_optuna_smote_513eddb2,0.98475504
6,2025-09-05,XGB_optuna_smote_513eddb2,0.02969383
7,2025-09-05,XGB_optuna_smote_513eddb2,0.00067203667
8,2025-09-05,XGB_optuna_smote_513eddb2,0.9861011
9,2025-09-05,XGB_optuna_smote_513eddb2,0.1473228
10,2025-09-05,XGB_optuna_smote_513eddb2,0.09611307
11,2025-09-05,XGB_optuna_smote_513eddb2,0.045263994
12,2025-09-05,XGB_optuna_smote_513eddb2,0.0006158339
13,2025-09-05,XGB_optuna_smote_513eddb2,0.00013144051
14,2025-09-05,XGB_optuna_smote_513eddb2,0.019860603
15,2025-09-05,XGB_optuna_smote_513eddb2,0.0025732988
16,2025-09-05,XGB_optuna_smote_513eddb2,0.0073787575
17,2025-09-05,XGB_optuna_smote_513eddb2,0.0013178826
18,2025-09-05,XGB_optuna_smote_513eddb2,0.97562873
19,2025-09-05,XGB_optuna_smote_513eddb2,0.21184474
20,2025-09-05,XGB_optuna_smote_513eddb2,0.9951363
21,2025-09-05,XGB_optuna_smote_513eddb2,0.02849345
22,2025-09-05,XGB_optuna_smote_513eddb2,0.0029819869
23,2025-09-05,XGB_optuna_smote_513eddb2,0.016436122
24,2025-09-05,XGB_optuna_smote_513eddb2,0.015744556
25,2025-09-05,XGB_optuna_smote_513eddb2,5.0294868e-05
26,2025-09-05,XGB_optuna_smote_513eddb2,0.056508742
27,2025-09-05,XGB_optuna_smote_513eddb2,0.014261206
28,2025-09-05,XGB_optuna_smote_513eddb2,0.0031826242
29,2025-09-05,XGB_optuna_smote_513eddb2,0.0472316
30,2025-09-05,XGB_optuna_smote_513eddb2,0.014299586
31,2025-09-05,XGB_optuna_smote_513eddb2,0.1012791
32,2025-09-05,XGB_optuna_smote_513eddb2,0.0056790393
33,2025-09-05,XGB_optuna_smote_513eddb2,0.9851992
34,2025-09-05,XGB_optuna_smote_513eddb2,0.040633086
35,2025-09-05,XGB_optuna_smote_513eddb2,0.01671123
36,2025-09-05,XGB_optuna_smote_513eddb2,0.038624458
37,2025-09-05,XGB_optuna_smote_513eddb2,0.002790879
38,2025-09-05,XGB_optuna_smote_513eddb2,0.011599898
39,2025-09-05,XGB_optuna_smote_513eddb2,0.00038040368
40,2025-09-05,XGB_optuna_smote_513eddb2,0.01613518
41,2025-09-05,XGB_optuna_smote_513eddb2,0.04353217
42,2025-09-05,XGB_optuna_smote_513eddb2,0.981307
43,2025-09-05,XGB_optuna_smote_513eddb2,0.0012757119
44,2025-09-05,XGB_optuna_smote_513eddb2,0.9925598
45,2025-09-05,XGB_optuna_smote_513eddb2,0.009999395
46,2025-09-05,XGB_optuna_smote_513eddb2,0.00894046
47,2025-09-05,XGB_optuna_smote_513eddb2,0.096515045
48,2025-09-05,XGB_optuna_smote_513eddb2,0.006641028
49,2025-09-05,XGB_optuna_smote_513eddb2,0.019344421
50,2025-09-05,XGB_optuna_smote_513eddb2,4.5000324e-06
51,2025-09-05,XGB_optuna_smote_513eddb2,2.2376356e-05
52,2025-09-05,XGB_optuna_smote_513eddb2,0.038898263
53,2025-09-05,XGB_optuna_smote_513eddb2,0.024626348
54,2025-09-05,XGB_optuna_smote_513eddb2,0.00013770806
55,2025-09-05,XGB_optuna_smote_513eddb2,9.149094e-05
56,2025-09-05,XGB_optuna_smote_513eddb2,0.030592628
57,2025-09-05,XGB_optuna_smote_513eddb2,0.017841835
58,2025-09-05,XGB_optuna_smote_513eddb2,0.00094127207
59,2025-09-05,XGB_optuna_smote_513eddb2,0.007996471
60,2025-09-05,XGB_optuna_smote_513eddb2,0.010239513
61,2025-09-05,XGB_optuna_smote_513eddb2,0.008611675
62,2025-09-05,XGB_optuna_smote_513eddb2,0.07861091
63,2025-09-05,XGB_optuna_smote_513eddb2,0.047181465
64,2025-09-05,XGB_optuna_smote_513eddb2,0.017380128
65,2025-09-05,XGB_optuna_smote_513eddb2,0.023025649
66,2025-09-05,XGB_optuna_smote_513eddb2,0.000107700434
67,2025-09-05,XGB_optuna_smote_513eddb2,0.09754934
68,2025-09-05,XGB_optuna_smote_513eddb2,0.0013645361
69,2025-09-05,XGB_optuna_smote_513eddb2,0.016772157
